copy pasted from enginesdatabase

(Launcher for game engines?)

285 Game Engines (3D engines)
285 Game Engines registered in the website

Minimum requirements
	Engine name
	Icon image
	Platform names
	first version release date

Sort by
	Alphabetical
	Newest version date
	Downloads, visits etc(?)
Search
	Input field
Filters
	Price model
	Platforms (Windows, PlayStation, Web, Android etc)
	Programming languages
	Software license

Extras
	Description

001 Game Creator 	✅ 	✅ 	❌
8th Wall 	❌ 	✅ 	✅
A-Frame 	❌ 	✅ 	✅
Abare Engine 	❌ 	❌ 	❌
Adventure Game Studio 	❌ 	✅ 	✅
AllBinary Platform 	❌ 	✅ 	✅
Allegro 	❌ 	✅ 	✅
Ambient 	❌ 	❌ 	✅
Amethyst 	✅ 	❌ 	✅
anitya 	❌ 	✅ 	✅
Anki 3D Engine 	❌ 	❌ 	❌
App Game Kit Studio 	❌ 	✅ 	✅
Arc80 	❌ 	❌ 	❌
Arcade 	✅ 	✅ 	✅
Armory3D 	✅ 	✅ 	✅
Atlas Engine 	❌ 	✅ 	✅
Axarion Engine 	✅ 	❌ 	❌
Axmol Engine 	✅ 	✅ 	✅
Babylon.js 	✅ 	✅ 	✅
BennuGD 	✅ 	❌ 	❌
Bevy 	✅ 	✅ 	✅
Bgfx 	❌ 	✅ 	❌
Bitsy 	✅ 	✅ 	❌
Bitty Engine 	❌ 	❌ 	✅
Blazium 	✅ 	✅ 	✅
Blitz3D 	✅ 	✅ 	✅
Buildbox 	✅ 	✅ 	❌
Butano 	❌ 	✅ 	✅
Byond 	❌ 	❌ 	❌
C4 Engine 	✅ 	✅ 	✅
Calico 	✅ 	✅ 	✅
Capsule VN Engine 	✅ 	✅ 	✅
Carimbo 	❌ 	✅ 	✅
Castle 	✅ 	✅ 	✅
Cave 	✅ 	✅ 	✅
Ceramic 	✅ 	✅ 	✅
Chickadee 	✅ 	✅ 	✅
Clickteam Fusion 2.5 	✅ 	✅ 	❌
Cocos Creator 	✅ 	✅ 	✅
Cocos2D-X 	✅ 	✅ 	✅
Comfy 	✅ 	✅ 	✅
Construct 3 	✅ 	✅ 	✅
CopperCube 	✅ 	✅ 	❌
CORE 	✅ 	✅ 	❌
Core Engine 	✅ 	✅ 	❌
Crown 	✅ 	✅ 	✅
CRYENGINE 	✅ 	✅ 	✅
CT.js 	✅ 	✅ 	✅
Cute Framework 	❌ 	✅ 	✅
Dagon 	❌ 	✅ 	✅
DagorEngine 	❌ 	✅ 	✅
Dark Basic 	❌ 	✅ 	✅
Decker 	❌ 	✅ 	✅
Defold 	✅ 	✅ 	✅
DevKitSMS 	❌ 	✅ 	❌
DOME 	✅ 	✅ 	✅
Drag[en]gine 	✅ 	✅ 	✅
DragonRuby 2D Engine 	✅ 	✅ 	✅
Dummy Engine 	❌ 	✅ 	✅
DungeonScript 	❌ 	✅ 	❌
Dust 	❌ 	❌ 	❌
Easel 	❌ 	✅ 	❌
Easy FPS Editor CE 	❌ 	✅ 	❌
Ebitengine 	✅ 	✅ 	✅
Echo Engine 	✅ 	✅ 	✅
Eldiron 	❌ 	✅ 	✅
Emerald 	❌ 	✅ 	❌
EngineLol 	❌ 	✅ 	❌
ENIGMA 	✅ 	✅ 	✅
Esenthel 	❌ 	✅ 	❌
Evergine 	✅ 	✅ 	❌
Excalibur.js 	✅ 	✅ 	✅
EZ Engine/Editor 	✅ 	✅ 	✅
Falco Engine 	✅ 	✅ 	❌
Felgo 	❌ 	✅ 	✅
FLAME 	✅ 	✅ 	✅
FlatRedBall 	✅ 	✅ 	✅
Flax 	✅ 	✅ 	✅
Flecs 	❌ 	❌ 	✅
Flowlab 	❌ 	✅ 	✅
FNA 	✅ 	❌ 	✅
FTEQW 	❌ 	✅ 	✅
FWK 	✅ 	✅ 	❌
Fyrox 	✅ 	✅ 	✅
Game Guru MAX 	❌ 	✅ 	❌
GameMaker 	✅ 	✅ 	✅
GameSalad 	✅ 	✅ 	✅
GB Studio 	✅ 	✅ 	✅
GBDK 2020 	❌ 	✅ 	✅
GDevelop 	✅ 	✅ 	✅
GGEZ 	❌ 	✅ 	✅
Gideros 	✅ 	✅ 	✅
Godot 	✅ 	✅ 	✅
Gondwana Game Engine 	❌ 	✅ 	✅
Gosu 	✅ 	✅ 	✅
Harfang 	✅ 	❌ 	❌
HaxeFlixel 	✅ 	✅ 	✅
Hazel Engine 	❌ 	✅ 	❌
Heaps.io 	✅ 	✅ 	✅
Hology Engine 	✅ 	✅ 	✅
Hot Soup Processor 	✅ 	✅ 	✅
Hotham 	❌ 	❌ 	✅
Ikemen GO 	❌ 	✅ 	✅
Indigo Engine 	❌ 	❌ 	✅
Inform 	✅ 	✅ 	✅
Inky 	❌ 	✅ 	✅
Intersect 	❌ 	❌ 	✅
Irrlicht Engine 	❌ 	❌ 	✅
Isogenic 	❌ 	✅ 	❌
Ji-xpress 	✅ 	❌ 	❌
jMonkeyEngine 	✅ 	❌ 	✅
JoEngine 	✅ 	✅ 	✅
KaboomJS 	✅ 	✅ 	❌
Kaiju Engine 	❌ 	✅ 	✅
KAPLAY 	❌ 	✅ 	✅
Kirikiri Z 	✅ 	✅ 	✅
KNI 	❌ 	✅ 	✅
Kohi 	❌ 	✅ 	✅
